OBJECTID,natcode,name,natLevName,countyId,countyCode,county,countyMn,regionId,regionCode,region,pop2015,Longitude,Latitude
1,153400,Năsturelu,Comuna,34,341,Teleorman,TR,3,831,Sud,"2,682",25.4639988,43.6653404
2,152314,Bujoru,Comuna,34,341,Teleorman,TR,3,831,Sud,"1,978",25.5705166,43.7268791
3,151978,Zimnicea,Oras,34,341,Teleorman,TR,3,831,Sud,"15,616",25.3719978,43.6907501
4,151709,Ciuperceni,Comuna,34,341,Teleorman,TR,3,831,Sud,"1,587",24.9537640,43.7497025
5,155118,Fântânele,Comuna,34,341,Teleorman,TR,3,831,Sud,"1,603",25.2986660,43.7243843
6,151736,Islaz,Comuna,34,341,Teleorman,TR,3,831,Sud,"5,345",24.7329063,43.7357674
7,125588,Gîrcov,Comuna,28,289,Olt,OT,4,840,Sud-Vest,"2,399",24.6191044,43.7686462
8,152234,Bragadiru,Comuna,34,341,Teleorman,TR,3,831,Sud,"3,933",25.5894947,43.7748871
9,127938,Orlea,Comuna,28,289,Olt,OT,4,840,Sud-Vest,"2,277",24.3685741,43.7556190
10,70879,Bechet,Oras,16,163,Dolj,DJ,4,840,Sud-Vest,"4,392",23.9534073,43.7718697
11,103194,Găujani,Comuna,52,528,Giurgiu,GR,3,831,Sud,"2,372",25.7059746,43.7491875
12,127251,Ianca,Comuna,28,289,Olt,OT,4,840,Sud-Vest,"3,749",24.1828461,43.7529945
13,130339,Gura Padinii,Comuna,28,289,Olt,OT,4,840,Sud-Vest,"1,738",24.3050728,43.7347488
14,153589,Pietroșani,Comuna,34,341,Teleorman,TR,3,831,Sud,"2,816",25.5627289,43.6751289
15,154460,Suhaia,Comuna,34,341,Teleorman,TR,3,831,Sud,"2,288",25.2487812,43.7391434
16,127224,Grojdibodu,Comuna,28,289,Olt,OT,4,840,Sud-Vest,"2,855",24.2292137,43.7141953
17,105909,Vedea,Comuna,52,528,Giurgiu,GR,3,831,Sud,"2,769",25.7989712,43.7695236
18,129282,Ștefan cel Mare,Comuna,28,289,Olt,OT,4,840,Sud-Vest,"1,803",24.2332611,43.8217735
19,127368,Izbiceni,Comuna,28,289,Olt,OT,4,840,Sud-Vest,"4,693",24.6443977,43.8185577
20,125542,Corabia,Oras,28,289,Olt,OT,4,840,Sud-Vest,"18,536",24.4836559,43.7936325
21,71607,Călărași,Comuna,16,163,Dolj,DJ,4,840,Sud-Vest,"5,976",24.0275497,43.7879601
22,152500,Cervenia,Comuna,34,341,Teleorman,TR,3,831,Sud,"2,983",25.5251293,43.8394585
23,179739,Malu,Comuna,52,528,Giurgiu,GR,3,831,Sud,"2,232",25.8158092,43.8269997
24,129745,Vădăstrița,Comuna,28,289,Olt,OT,4,840,Sud-Vest,"3,306",24.3407421,43.8366089
25,129629,Urzica,Comuna,28,289,Olt,OT,4,840,Sud-Vest,"2,222",24.2667866,43.8604317
26,129718,Vădastra,Comuna,28,289,Olt,OT,4,840,Sud-Vest,"1,430",24.4089813,43.8323097
27,153561,Piatra,Comuna,34,341,Teleorman,TR,3,831,Sud,"3,181",25.2140503,43.8284721
28,100549,Slobozia,Comuna,52,528,Giurgiu,GR,3,831,Sud,"2,357",25.8860893,43.8553238
29,129460,Tia Mare,Comuna,28,289,Olt,OT,4,840,Sud-Vest,"4,333",24.6208954,43.8569298
30,129898,Vișina,Comuna,28,289,Olt,OT,4,840,Sud-Vest,"2,909",24.4689579,43.8611603
31,72007,Dăbuleni,Oras,16,163,Dolj,DJ,4,840,Sud-Vest,"12,317",24.1204224,43.8242073
32,130375,Vișina Nouă,Comuna,28,289,Olt,OT,4,840,Sud-Vest,"1,770",24.3888950,43.8823433
33,152662,Crângu,Comuna,34,341,Teleorman,TR,3,831,Sud,"1,480",25.0823307,43.8488388
