object_id,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,name,county,Longitude,Latitude,pred_absolute,pred_percent,pred_party
0,821,845,221,17,861,107,17,246,16,9,36,57,10,45,63,17,1 Decembrie,Ilfov,26.0624485,44.2971268,861,25.41,g5
1,316,390,104,17,1115,49,7,192,14,5,18,23,7,19,22,11,23 August,Constanța,28.554880100000002,43.924442299999995,1115,48.29,g5
2,168,116,46,54,778,65,7,27,2,2,7,3,0,2,11,28,Abram,Bihor,22.3905869,47.309265100000005,778,59.12,g5
3,102,65,20,677,173,11,1,8,2,0,3,0,1,2,4,29,Abrămuț,Bihor,22.2624187,47.3404884,677,61.66,g4
4,744,231,105,22,607,122,26,83,16,9,13,18,3,18,29,42,Abrud,Alba,23.0635643,46.2746429,744,35.63,g1
5,41,35,14,1967,50,9,4,8,0,0,4,4,2,1,1,5,Acățari,Mureș,24.652639399999998,46.450832399999996,1967,91.7,g4
6,129,40,12,341,257,49,3,5,3,3,0,0,0,3,3,5,Acîș,Satu Mare,22.7539139,47.5240822,341,39.98,g4
7,242,99,43,4,421,4,4,82,7,2,6,15,1,5,1,3,Adamclisi,Constanța,27.955987899999997,44.121376,421,44.83,g5
8,244,183,56,522,467,19,13,34,8,9,13,12,4,5,11,40,Adămuș,Mureș,24.2126503,46.3059044,522,31.83,g4
9,246,12,82,1,111,13,24,10,1,4,5,1,3,2,5,1,Adășeni,Botoșani,26.9403,48.068397499999996,246,47.22,g1
10,252,91,92,5,345,36,7,44,1,2,2,7,0,7,15,1,Adâncata,Ialomița,26.4885597,44.7508125,345,38.04,g5
11,299,151,69,9,889,31,8,79,4,4,3,13,6,25,14,8,Adâncata,Suceava,26.2999935,47.7380142,889,55.15,g5
12,1686,1029,505,39,2027,206,40,355,31,22,36,44,15,94,186,51,Adjud,Vrancea,27.1893158,46.115295399999994,2027,31.84,g5
13,1024,496,131,30,586,342,9,142,14,8,10,12,12,30,19,10,Adunații-Copăceni,Giurgiu,26.049066500000002,44.2455139,1024,35.62,g1
14,223,90,107,6,256,28,8,68,7,2,3,3,2,3,0,2,Adunați,Prahova,25.589571,45.1840973,256,31.68,g5
15,308,49,41,7,414,76,4,53,5,5,2,1,0,3,1,6,Afumați,Dolj,23.444978699999997,43.9958572,414,42.46,g5
16,526,649,177,14,2237,70,14,205,16,6,15,17,11,36,47,13,Afumați,Ilfov,26.2654343,44.539154100000005,2237,55.19,g5
17,570,252,118,11,420,57,19,81,21,14,22,10,6,17,32,9,Agapia,Neamț,26.2604809,47.1605644,570,34.36,g1
18,614,197,107,51,514,162,25,85,16,8,13,6,5,20,25,18,Agăș,Bacău,26.190862699999997,46.4542618,614,32.9,g1
19,264,373,64,863,921,64,8,58,14,3,12,6,2,11,12,30,Aghireșu,Cluj,23.258802399999997,46.8692436,921,34.05,g5
20,633,1128,408,29,1006,126,26,449,29,6,32,26,19,68,82,97,Agigea,Constanța,28.590267200000003,44.09061810000001,1128,27.09,g2
21,460,570,114,53,2088,70,29,158,19,10,21,27,9,32,23,29,Agnita,Sibiu,24.6248665,45.9980965,2088,56.25,g5
22,127,98,17,4,182,13,1,23,3,3,1,1,0,0,2,12,Agrij,Sălaj,23.104045899999996,47.0599098,182,37.37,g5
23,36,19,14,386,94,11,3,14,2,1,0,1,1,0,3,2,Agriș,Satu Mare,23.011980100000002,47.87957,386,65.76,g4
24,16,23,1,445,31,8,0,7,0,0,1,1,1,0,1,1,Aita Mare,Covasna,25.6339455,45.975246399999996,445,83.02,g4
25,97,93,12,32,320,16,1,22,2,1,3,1,1,2,3,3,Aiton,Cluj,23.7382565,46.6781845,320,52.55,g5
26,2200,1873,587,1171,3668,235,58,349,35,34,40,24,16,63,103,145,Aiud,Alba,23.692215,46.3077469,3668,34.6,g5
27,124,80,37,3,536,8,8,33,2,1,0,2,3,2,9,1,Albac,Alba,22.952652,46.452880900000004,536,63.13,g5
28,4860,8380,1881,414,13886,927,212,1470,84,106,145,120,39,324,524,930,Alba Iulia,Alba,23.556312600000002,46.0653954,13886,40.48,g5
29,279,35,416,13,132,18,26,25,6,1,5,40,1,1,8,0,Albeni,Gorj,23.607006100000003,45.017437,416,41.35,g3
30,452,87,95,16,677,43,17,17,9,4,4,2,2,20,7,22,Albești,Botoșani,27.089590100000002,47.689708700000004,677,45.93,g5
31,171,122,65,16,762,21,9,84,11,3,14,17,1,9,11,11,Albești,Constanța,28.401556,43.8151398,762,57.42,g5
32,264,22,35,10,124,13,2,36,1,0,3,0,2,8,3,0,Albești,Ialomița,27.110403100000003,44.526939399999996,264,50.48,g1
33,573,388,186,20,718,103,27,131,9,4,15,12,3,17,26,6,Albeștii de Argeș,Argeș,24.6800117,45.2290764,718,32.08,g5
34,163,65,29,1,221,26,2,93,1,2,1,2,3,2,3,26,Albeștii de Muscel,Argeș,24.960145999999998,45.369251299999995,221,34.53,g5
35,362,337,86,288,771,95,9,80,9,7,16,8,4,17,15,10,Albești,Mureș,24.8529205,46.231662799999995,771,36.47,g5
36,416,406,133,15,774,361,2,106,12,8,7,17,8,37,12,15,Albești-Paleologu,Prahova,26.2375107,44.9269371,774,33.23,g5
37,304,138,55,10,251,13,6,35,13,6,7,1,3,13,6,30,Albești,Vaslui,27.8627415,46.5131912,304,34.12,g1
38,815,286,173,28,452,38,8,86,13,13,11,8,4,20,19,3,Albota,Argeș,24.8288803,44.7790718,815,41.22,g1
39,619,558,163,502,1932,103,11,130,9,5,8,4,1,20,27,378,Aleșd,Bihor,22.4170418,47.09550479999999,1932,43.22,g5
40,6615,2976,1367,58,3879,641,110,1166,66,44,93,112,37,182,188,237,Alexandria,Teleorman,25.362939800000003,43.975635499999996,6615,37.22,g1
41,638,532,191,20,756,116,26,237,20,17,22,10,24,54,29,26,Alexandru cel Bun,Neamț,26.2724533,46.9184189,756,27.81,g5
42,468,58,46,4,330,42,8,20,8,5,4,9,2,8,3,1,Alexandru I. Cuza,Iași,26.865007399999996,47.1390343,468,46.06,g1
43,267,80,38,4,563,20,7,47,4,4,4,1,0,6,6,2,Alexandru Odobescu,Călărași,27.100174,44.293960600000005,563,53.47,g5
44,105,33,8,4,236,14,4,20,2,1,1,2,1,1,2,0,Alexandru Vlahuță,Vaslui,27.626966499999998,46.4502029,236,54.38,g5
45,219,87,184,4,218,14,8,30,3,5,4,6,4,3,9,1,Alexeni,Ialomița,26.7330208,44.701026899999995,219,27.41,g1
46,143,45,13,6,536,3,2,49,0,1,0,5,2,2,2,2,Aliman,Constanța,27.848445899999998,44.1838341,536,66.09,g5
47,181,48,71,5,268,76,8,140,2,2,8,2,1,1,2,1,Alimpești,Gorj,23.7932758,45.1033096,268,32.84,g5
48,457,116,21,10,389,24,2,29,3,1,2,6,3,3,3,2,Almăj,Dolj,23.7061424,44.4364243,457,42.67,g1
49,204,98,33,6,368,156,10,65,4,3,3,4,2,8,10,92,Almaș,Arad,22.2254238,46.265274,368,34.52,g5
50,139,77,40,76,533,79,4,32,9,2,3,3,0,2,4,0,Alma,Sibiu,24.4673157,46.22954179999999,533,53.14,g5
51,81,42,24,7,251,35,9,58,3,2,1,0,0,0,1,13,Almașu Mare,Alba,23.1446857,46.082199100000004,251,47.63,g5
52,112,118,30,370,336,39,10,30,3,0,1,0,0,2,4,16,Almașu,Sălaj,23.0465908,46.967983200000006,370,34.55,g4
53,313,77,19,14,260,12,3,11,5,2,4,2,0,0,1,2,Alțina,Sibiu,24.4758224,45.9320602,313,43.17,g1
54,70,47,15,6,231,19,10,21,3,1,2,0,2,2,3,14,Aluniș,Cluj,23.7459831,47.0516739,231,51.79,g5
55,57,32,20,1052,123,15,4,6,0,2,1,5,0,2,4,17,Aluniș,Mureș,24.861682899999998,46.890380900000004,1052,78.51,g4
56,634,259,112,12,348,68,10,85,15,8,13,6,2,14,13,8,Aluniș,Prahova,25.8595047,45.205234499999996,634,39.45,g1
57,513,113,19,8,461,170,3,28,8,1,3,9,0,8,3,2,Alunu,Vâlcea,23.808139800000003,45.008361799999996,513,38.03,g1
58,742,517,216,17,920,129,17,187,22,13,21,41,7,32,23,31,Amara,Ialomița,27.3108711,44.649025,920,31.35,g5
59,1265,108,33,11,878,20,8,68,8,7,0,3,2,5,7,3,Amărăștii de Jos,Dolj,24.198989899999997,43.9321175,1265,52.14,g1
60,750,45,25,2,169,28,0,14,7,0,1,3,0,0,0,0,Amărăștii de Sus,Dolj,24.1963158,43.9865761,750,71.84,g1
61,162,81,33,3,214,29,5,24,4,3,4,1,2,3,5,1,Amărăști,Vâlcea,24.148023600000002,44.7640686,214,37.28,g5
62,415,59,48,7,157,63,2,40,1,1,0,2,1,9,10,2,Amaru,Buzău,26.603431699999998,44.9308434,415,50.8,g1
63,174,111,44,15,281,62,3,75,7,3,4,1,2,14,17,3,Amzacea,Constanța,28.353465999999997,43.9481544,281,34.44,g5
64,195,51,39,1,347,16,5,32,7,0,2,3,2,5,4,4,Andrășești,Ialomița,27.1378174,44.585693400000004,347,48.67,g5
65,293,10,18,6,219,21,3,5,4,2,1,2,4,8,29,1,Andreiașu de Jos,Vrancea,26.805875800000003,45.7137146,293,46.81,g1
