"Cod birou electoral",Județ,Uat,Localitate,Secție,Nr,Tip,a,a1,a2,b,b1,b2,b3,c,d,e,f,h,i,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16
48,STRĂINĂTATE,AFGANISTAN,KABUL,"KABUL - AFGANISTAN",1,Europarlamentare,0,0,0,18,0,0,18,150,132,18,0,"NU A FOST CAZUL.","SIGILII INTACTE.",1,10,0,0,3,1,0,1,0,0,0,0,0,2,0,0
48,STRĂINĂTATE,AFGANISTAN,KABUL/HKIA,"KABUL/HKIA - AFGANISTAN",2,Europarlamentare,0,0,0,204,0,0,204,350,146,204,0,0,0,8,100,22,1,31,2,2,7,2,0,9,0,0,9,10,1
48,STRĂINĂTATE,AFGANISTAN,KANDAHAR/KAF,"KANDAHAR/KAF - AFGANISTAN",3,Europarlamentare,0,0,0,557,0,0,557,652,95,548,9,"NU SUNT.",INTACTE,40,200,71,5,102,20,4,20,7,1,10,7,3,18,26,14
48,STRĂINĂTATE,"AFRICA DE SUD",PRETORIA,"PRETORIA - AFRICA DE SUD",4,Europarlamentare,0,0,0,93,0,0,93,400,307,93,0,"NU ESTE CAZUL",INTACTA,7,55,3,1,17,1,0,2,0,0,0,0,0,1,5,1
48,STRĂINĂTATE,"AFRICA DE SUD","CAPE TOWN","CAPE TOWN - AFRICA DE SUD",5,Europarlamentare,0,0,0,47,0,0,47,200,153,47,0,"NU E CAZUL",INTACTA,6,22,5,0,6,0,0,2,0,0,0,2,1,0,1,2
48,STRĂINĂTATE,ALBANIA,TIRANA,"TIRANA - ALBANIA",6,Europarlamentare,0,0,0,66,0,0,66,300,234,66,0,"NU E CAZUL",INTACTA,1,33,5,0,18,4,0,2,0,0,0,0,0,0,1,2
48,STRĂINĂTATE,ALGERIA,ALGER,"ALGER - ALGERIA",7,Europarlamentare,0,0,0,21,0,0,21,200,179,21,0,0,0,5,4,1,0,4,3,0,2,0,0,0,0,0,2,0,0
48,STRĂINĂTATE,ANGOLA,LUANDA,"LUANDA - ANGOLA",8,Europarlamentare,0,0,0,12,0,0,12,200,188,12,0,"NU AU FOST","FOARTE BUNA",3,1,0,0,2,0,0,4,1,0,1,0,0,0,0,0
48,STRĂINĂTATE,"ARABIA SAUDITĂ",RIAD,"RIAD - ARABIA SAUDITĂ",9,Europarlamentare,0,0,0,109,0,0,109,500,391,109,0,0,0,3,70,6,0,23,4,0,1,0,0,1,0,0,0,0,1
48,STRĂINĂTATE,ARGENTINA,"BUENOS AIRES","BUENOS AIRES - ARGENTINA",10,Europarlamentare,0,0,0,57,0,0,57,200,143,57,0,0,BUNA,4,30,7,2,7,1,0,2,0,0,0,0,1,0,2,1
48,STRĂINĂTATE,ARMENIA,EREVAN,"EREVAN - ARMENIA",11,Europarlamentare,0,0,0,20,0,0,20,200,180,20,0,0,0,0,16,0,0,1,0,1,1,0,0,0,0,0,0,1,0
48,STRĂINĂTATE,AUSTRALIA,MELBOURNE,"MELBOURNE - AUSTRALIA",12,Europarlamentare,0,0,0,302,0,0,302,1500,1198,295,7,0,0,5,179,1,0,55,3,0,22,0,0,0,1,1,4,2,22
48,STRĂINĂTATE,AUSTRALIA,CANBERRA,"CANBERRA - AUSTRALIA",13,Europarlamentare,0,0,0,18,0,0,18,1500,1482,18,0,"NU S-AU INREGISTRAT CONTEETATII","STARE PERFECTA",0,11,1,0,3,1,0,1,0,0,0,0,0,0,1,0
48,STRĂINĂTATE,AUSTRALIA,ADELAIDE,"ADELAIDE - AUSTRALIA",14,Europarlamentare,0,0,0,56,0,0,56,1500,1444,56,0,0,OK,0,24,0,0,17,1,0,4,0,0,0,0,0,1,5,4
48,STRĂINĂTATE,AUSTRALIA,PERTH,"PERTH - AUSTRALIA",15,Europarlamentare,0,0,0,179,0,0,179,1500,1321,176,3,0,0,3,93,1,0,31,1,0,8,0,0,2,2,0,2,3,30
48,STRĂINĂTATE,AUSTRALIA,SYDNEY,"SYDNEY - AUSTRALIA",16,Europarlamentare,0,0,0,237,0,0,237,1501,1264,236,1,0,0,12,153,1,0,38,10,0,11,0,0,3,1,0,6,1,0
48,STRĂINĂTATE,AUSTRALIA,BRISBANE,"BRISBANE - AUSTRALIA",17,Europarlamentare,0,0,0,137,0,0,137,1500,1363,134,3,"NU EXISTA",INTACTA,6,68,2,2,29,0,7,7,0,0,0,1,0,1,0,11
48,STRĂINĂTATE,"NOUA ZEELANDĂ",AUCKLAND,"AUCKLAND - NOUA ZEELANDĂ",18,Europarlamentare,0,0,0,173,0,0,173,1500,1327,172,1,0,INTACTE,11,112,1,0,30,3,0,4,0,1,2,0,1,2,1,4
48,STRĂINĂTATE,AUSTRIA,VIENA,"VIENA - AUSTRIA",19,Europarlamentare,0,0,0,1463,0,0,1463,4000,2537,1463,0,0,buna,21,940,36,18,273,10,5,47,3,2,3,7,1,9,29,59
48,STRĂINĂTATE,AUSTRIA,VIENA,"VIENA - AUSTRIA",20,Europarlamentare,0,0,0,1343,0,0,1343,4000,2657,1330,13,"NU ESTE CAZUL.","7 EXEMPLARE",28,526,31,9,527,16,5,72,2,1,10,1,3,9,20,70
48,STRĂINĂTATE,AUSTRIA,VIENA,"VIENA - AUSTRIA",21,Europarlamentare,0,0,0,1434,0,0,1434,4000,2566,1424,10,0,INTACTA,24,606,31,18,479,21,2,87,4,0,2,8,1,17,22,102
48,STRĂINĂTATE,AUSTRIA,VIENA,"VIENA - AUSTRIA",22,Europarlamentare,0,0,0,1482,0,0,1482,4000,2518,1466,16,"LA FINALUL PROCESULUI DE VOTARE MAI MULTI ALEGATORI AU SEMNAT O PETITIE COLECTIVA CARE VA FI TRANSMISA BIROULUI ELECTORAL DIN STRAINATATE",INTACTE,28,677,19,7,488,15,5,77,2,1,4,6,1,8,29,99
48,STRĂINĂTATE,AUSTRIA,GRAZ,"GRAZ - AUSTRIA",23,Europarlamentare,0,0,0,1482,0,0,1482,4000,2511,1463,19,0,0,12,448,31,9,653,13,6,93,4,3,7,7,1,11,27,138
48,STRĂINĂTATE,AUSTRIA,KLAGENFURT,"KLAGENFURT - AUSTRIA",24,Europarlamentare,0,0,0,934,0,0,934,4000,3066,920,14,"NU ESTE CAZUL",INTACT,11,290,23,5,439,12,1,23,3,0,6,3,4,4,18,78
48,STRĂINĂTATE,AUSTRIA,SALZBURG,"SALZBURG - AUSTRIA",25,Europarlamentare,0,0,0,1403,0,0,1403,4000,2597,1393,10,0,0,9,644,29,13,447,22,4,62,7,2,6,1,0,18,42,87
48,STRĂINĂTATE,AUSTRIA,VIENA,"VIENA - AUSTRIA",26,Europarlamentare,0,0,0,1768,0,0,1768,4000,2212,1743,20,0,0,16,673,39,19,598,15,4,137,7,3,14,5,12,17,31,153
48,STRĂINĂTATE,AUSTRIA,VIENA,"VIENA - AUSTRIA",27,Europarlamentare,0,0,0,1000,0,0,1000,4000,3000,991,9,0,"SIGILIILE URNELOR ERAU INTACTE",12,476,33,18,316,22,3,43,8,2,8,6,1,11,25,7
48,STRĂINĂTATE,AZERBAIDJAN,BAKU,"BAKU - AZERBAIDJAN",28,Europarlamentare,0,0,0,52,0,0,52,200,148,52,0,"NU E CAZUL",INTACTA,4,25,2,1,8,6,0,2,0,0,0,0,0,0,1,3
48,STRĂINĂTATE,BELARUS,MINSK,"MINSK - BELARUS",29,Europarlamentare,0,0,0,20,0,0,20,101,81,20,0,"NU ESTE CAZUL",INTACTA,1,11,0,1,1,1,0,1,0,0,0,0,0,2,1,1
48,STRĂINĂTATE,BELGIA,BRUXELLES,"BRUXELLES - BELGIA",30,Europarlamentare,0,0,0,1667,0,0,1667,9775,8108,1655,12,0,BUNA,33,1077,41,13,266,17,14,85,6,3,5,6,1,24,25,39
48,STRĂINĂTATE,BELGIA,BRUXELLES,"BRUXELLES - BELGIA",31,Europarlamentare,0,0,0,1499,0,0,1499,9776,8277,1488,11,"O SOLICITARE DE PRELUNGIRE PROGRAM VOT DE CATRE OBSERVATOR INDEPENDENT",INTACTE,29,952,24,21,296,19,11,51,7,2,6,5,4,14,26,21
48,STRĂINĂTATE,BELGIA,BRUXELLES,"BRUXELLES - BELGIA",32,Europarlamentare,0,0,0,1676,0,0,1676,7000,5324,1659,17,"NU S-A FORMULAT NICIO CONTESTATIE IN SCRIS","INTACTA, URNE SIGILATE",27,780,43,15,523,22,6,109,7,4,15,11,3,17,48,29
48,STRĂINĂTATE,BELGIA,BRUXELLES,"BRUXELLES - BELGIA",33,Europarlamentare,0,0,0,2063,0,0,2063,7000,4937,2038,25,0,0,24,959,43,14,569,35,26,169,9,3,12,22,8,30,43,72
48,STRĂINĂTATE,BELGIA,BRUXELLES,"BRUXELLES - BELGIA",34,Europarlamentare,0,0,0,1401,0,0,1401,7000,5599,1385,16,0,"Sigilii intacte",23,599,30,14,452,17,13,89,7,0,4,13,5,18,38,63
48,STRĂINĂTATE,BELGIA,BRUXELLES,"BRUXELLES - BELGIA",35,Europarlamentare,0,0,0,1516,0,0,1516,7000,5484,1493,17,"CERERE PRELUNGIRE PROGRAM DE VOTARE INTRUCAT LA USA SECTIEI DE VOTARE AVEAM UN NR FOARTE MARE DE ALEGATORI CARE ASTEPTAU DE FOARTEMULT TIMP SA -SI EXERCITE DREPTUL DE VOT SI ERA FOARTE CLAR CA NU VOR REUSI . ACESTIA DEVENISERA RECALCITRANTI SIAMENINTAU SIGURANTA SECTIEI SI MEMBRILOR BIROULUI SECTIEI DE VOTARE.CONTESTATII DIN PARTEACETATENILOR ROMANI CARE NU AU REUSIT SA VOTEZE.","STARE SIGILII INTACTA.",13,657,25,9,500,27,9,63,1,5,14,8,7,20,45,90
48,STRĂINĂTATE,BELGIA,LIEGE,"LIEGE - BELGIA",36,Europarlamentare,0,0,0,1563,0,0,1563,7000,5437,1510,25,0,0,17,742,47,15,413,30,9,89,7,0,22,17,6,17,42,37
